Nombre_Concello,Longitud,Latitud
Poio,-8.70487161597655,42.4411174591974
Salvaterra de Miño,-8.48517419387151,42.1129847465654
Carballo,-8.66867575718454,43.2125522654764
Frades,-8.27752047227587,43.0452052959296
Melide,-8.03729992471542,42.9336712044645
Cortegada,-8.14934315424216,42.2077387702104
Sober,-7.55492983906528,42.4332213113842
Vilarmaior,-8.12315435159556,43.3565820248587
Leiro,-8.15653108733511,42.373198633301
Pontedeume,-8.15462133385231,43.4002055388844
Castroverde,-7.33535454390183,43.0231364146934
Oímbra,-7.52145891868291,41.8702780242871
Outeiro de Rei,-7.60524430620012,43.1005799738474
"Grove, O",-8.89020672178787,42.4735870745704
"Pastoriza, A",-7.35619162268337,43.3003847003022
Oleiros,-8.33079854653574,43.3499306984225
Beade,-8.13311322532203,42.3252261345334
Miño,-8.17874260420817,43.3561003072749
Cuntis,-8.55676138907364,42.6404567564154
Manzaneda,-7.22035684995371,42.2699782702311
"Laracha, A",-8.5536442042261,43.232342107408
"Somozas, As",-7.92028314652129,43.5248881392283
Sarria,-7.43183841678348,42.7719457870429
Padrenda,-8.15489624406861,42.1185571342449
Cambados,-8.80129099380781,42.5055523869869
Cee,-9.19533894601534,42.9694101045583
Alfoz,-7.43374271707138,43.5025304903568
Arzúa,-8.18243969262073,42.9268669704101
Verín,-7.416298736022,41.9065086500076
"Estrada, A",-8.45733101717226,42.686883278526
Entrimo,-8.13925177026024,41.9429088652497
Xunqueira de Ambía,-7.71664577158859,42.1800297541958
Sandiás,-7.74722680942329,42.1120676391947
Vilalba,-7.661821860593,43.3174826199099
Boborás,-8.17705084657579,42.4434450788858
"Pontes de García Rodríguez, As",-7.87315937908401,43.4637386789661
Riotorto,-7.26477878146447,43.3248845836346
Negueira de Muñiz,-6.89028604473195,43.1260724359301
Pontecesures,-8.63631240925916,42.7144618294644
Rodeiro,-7.94552693745325,42.6590709652203
"Baña, A",-8.7528691597356,42.9634270104879
Silleda,-8.27614596451511,42.6942232182468
Amoeiro,-7.94573129760142,42.3985427440785
Forcarei,-8.32265461100222,42.5791561106814
"Pobra do Brollón, A",-7.36729761331576,42.564026821522
"Pino, O",-8.32310316634551,42.9382124325439
Lobeira,-8.0470038958993,42.0013351177221
Lobios,-8.08706453220698,41.875469627873
Pedrafita do Cebreiro,-7.08344666760769,42.6924440650453
Ames,-8.6461680701395,42.8909870418458
Friol,-7.81355301185266,43.0407967226126
"Mezquita, A",-7.03380614442985,42.0068528093823
Sada,-8.28204295407587,43.35376385795
Maceda,-7.59997582346353,42.2567249276471
"Bola, A",-7.89754666078208,42.1451832124885
Aranga,-8.01285534293059,43.2228124320206
Arbo,-8.3191521267746,42.1233136924105
